id,drug_id,element,atom_type,charge
integer,integer,varchar(2),integer,float
primary key,foreign key[drugs.id],,,
0,0,c,22,-0.11
1,0,c,22,-0.11
2,0,c,22,-0.11
3,0,c,22,-0.11
4,0,h,3,0.15
5,0,h,3,0.15
6,0,n,38,0.82
7,0,n,38,0.82
8,0,n,38,0.82
9,0,n,38,0.82
10,0,o,40,-0.38
11,0,c,22,-0.11
12,0,o,40,-0.38
13,0,o,40,-0.38
14,0,o,40,-0.38
15,0,o,40,-0.38
16,0,o,40,-0.38
17,0,o,40,-0.38
18,0,o,40,-0.38
19,0,c,27,0.02
20,0,c,27,0.02
21,0,c,22,-0.11
22,0,c,22,-0.11
23,0,h,3,0.15
24,0,h,3,0.15
25,0,c,22,-0.11
26,1,c,22,-0.138
27,1,n,38,0.793
28,1,o,40,-0.407
29,1,o,40,-0.407
30,1,h,1,0.292
31,1,h,3,0.122
32,1,h,3,0.122
33,1,h,3,0.092
34,1,h,3,0.122
35,1,h,3,0.092
36,1,c,22,-0.138
37,1,c,26,-0.048
38,1,c,26,0.092
39,1,c,22,-0.138
40,1,c,22,-0.138
41,1,n,34,-0.367
42,1,c,21,0.162
43,1,c,21,-0.108
44,2,c,22,-0.133
45,2,c,22,-0.133
46,2,c,26,0.098
47,2,c,26,0.098
48,2,c,22,-0.133
49,2,c,22,-0.133
50,2,c,22,-0.132
51,2,c,26,0.098
52,2,c,21,-0.102
53,2,c,21,-0.002
54,2,h,3,0.128
55,2,c,22,-0.133
56,2,h,3,0.128
57,2,h,3,0.128
58,2,h,3,0.128
59,2,h,3,0.128
60,2,h,3,0.098
61,2,h,3,0.128
62,2,h,3,0.128
63,2,h,3,0.098
64,2,n,38,0.797
65,2,o,40,-0.403
66,2,c,27,-0.002
67,2,o,40,-0.403
68,2,c,27,-0.102
69,2,c,27,-0.002
70,2,c,22,-0.133
71,2,c,27,-0.102
72,2,c,27,-0.002
73,2,c,22,-0.133
74,3,c,22,-0.113
75,3,h,3,0.146
76,3,c,22,-0.113
77,3,c,22,-0.113
78,3,c,195,-0.083
79,3,c,195,-0.083
80,3,h,3,0.146
81,3,c,27,-0.083
82,3,c,27,0.017
83,3,c,22,-0.113
84,3,c,22,-0.113
85,3,c,22,-0.113
86,3,h,3,0.146
87,3,h,3,0.146
88,3,c,22,-0.113
89,3,c,22,-0.113
90,3,c,22,-0.113
91,3,c,22,-0.113
92,3,h,3,0.146
93,3,h,3,0.146
94,3,h,3,0.146
95,3,h,3,0.146
96,3,c,27,0.017
97,3,n,38,0.816
98,3,o,40,-0.384
99,3,o,40,-0.384
100,3,c,27,-0.083
101,3,c,22,-0.113
102,3,c,22,-0.113
103,3,h,3,0.146
104,3,h,3,0.146
105,3,h,3,0.146
106,4,c,22,-0.113
107,4,h,3,0.146
108,4,c,22,-0.113
109,4,c,22,-0.113
110,4,c,195,-0.083
111,4,c,195,-0.083
112,4,h,3,0.146
113,4,c,27,-0.083
114,4,c,27,0.017
115,4,c,22,-0.113
116,4,c,22,-0.113
117,4,c,22,-0.113
118,4,h,3,0.146
119,4,h,3,0.146
120,4,c,22,-0.113
121,4,c,22,-0.113
122,4,c,22,-0.113
123,4,c,22,-0.113
124,4,h,3,0.146
125,4,h,3,0.146
126,4,h,3,0.146
127,4,h,3,0.146
128,4,c,27,0.017
129,4,n,38,0.816
130,4,o,40,-0.384
131,4,o,40,-0.384
132,4,c,27,-0.083
133,4,c,22,-0.113
134,4,c,22,-0.113
135,4,h,3,0.146
136,4,h,3,0.146
137,4,h,3,0.146
138,5,c,22,-0.132
139,5,n,32,-0.781
140,5,n,38,0.799
141,5,h,1,0.328
142,5,h,1,0.328
143,5,o,40,-0.401
144,5,o,40,-0.401
145,5,n,32,-0.781
146,5,h,1,0.329
147,5,h,1,0.328
148,5,c,22,-0.132
149,5,c,22,-0.132
150,5,c,22,0.198
151,5,c,22,0.198
152,5,c,22,-0.132
153,5,h,3,0.128
154,5,h,3,0.128
155,5,h,3,0.128
156,6,c,22,-0.05
157,6,cl,93,-0.12
158,6,cl,93,-0.12
159,6,n,38,0.88
160,6,o,40,-0.32
161,6,o,40,-0.32
162,6,c,22,-0.05
163,6,c,22,-0.05
164,6,c,22,-0.05
165,6,c,22,-0.05
166,6,c,22,-0.05
167,6,h,3,0.21
168,6,h,3,0.21
169,6,cl,93,-0.12
170,7,c,22,-0.137
171,7,h,3,0.123
172,7,c,22,0.193
173,7,c,22,-0.137
174,7,c,22,-0.137
175,7,c,22,-0.137
176,7,c,22,-0.137
177,7,c,29,-0.007
178,7,h,3,0.123
179,7,h,3,0.123
180,7,n,32,-0.408
181,7,c,22,-0.137
182,7,h,1,0.293
183,7,h,3,0.123
184,7,n,38,0.792
185,7,o,40,-0.407
186,7,o,40,-0.407
187,7,c,22,0.193
188,7,c,29,-0.007
189,7,c,22,-0.137
190,7,c,22,-0.137
191,7,h,3,0.123
192,7,h,3,0.123
193,7,h,3,0.123
194,8,c,22,-0.086
195,8,c,10,0.294
196,8,n,38,0.844
197,8,o,40,-0.356
198,8,o,40,-0.356
199,8,h,3,0.174
200,8,h,3,0.174
201,8,h,3,0.174
202,8,h,3,0.174
203,8,h,3,0.094
204,8,h,3,0.094
205,8,c,22,-0.086
206,8,h,3,0.094
207,8,c,26,-0.056
208,8,c,26,-0.056
209,8,c,22,-0.086
210,8,c,22,-0.086
211,8,n,34,-0.496
212,8,c,21,0.044
213,8,n,34,-0.496
214,10,c,22,-0.138
215,10,n,38,0.793
216,10,o,40,-0.407
217,10,o,40,-0.407
218,10,h,3,0.122
219,10,h,3,0.092
220,10,h,3,0.122
221,10,h,3,0.122
222,10,h,3,0.092
223,10,h,1,0.292
224,10,c,22,-0.138
225,10,c,26,-0.048
226,10,c,26,0.092
227,10,c,22,-0.138
228,10,c,22,-0.138
229,10,n,34,-0.367
230,10,c,21,0.162
231,10,c,21,-0.108
232,11,c,22,-0.121
233,11,n,38,0.81
234,11,o,40,-0.39
235,11,o,40,-0.39
236,11,h,3,0.139
237,11,f,92,-0.291
238,11,c,22,-0.121
239,11,c,22,0.31
240,11,c,22,-0.121
241,11,c,22,-0.121
242,11,c,22,-0.121
243,11,h,3,0.139
244,11,h,3,0.139
245,11,h,3,0.139
246,12,c,22,-0.114
247,12,n,38,0.817
248,12,o,40,-0.384
249,12,o,40,-0.384
250,12,h,3,0.146
251,12,n,38,0.817
252,12,o,40,-0.383
253,12,o,40,-0.383
254,12,c,22,-0.114
255,12,c,22,-0.114
256,12,c,22,-0.114
257,12,c,22,-0.114
258,12,c,22,-0.114
259,12,h,3,0.146
260,12,h,3,0.146
261,12,h,3,0.146
262,13,c,22,-0.097
263,13,n,38,0.832
264,13,o,40,-0.368
265,13,o,40,-0.367
266,13,h,3,0.163
267,13,cl,93,-0.167
268,13,c,22,-0.097
269,13,c,22,-0.097
270,13,c,22,-0.097
271,13,c,22,-0.097
272,13,c,22,-0.097
273,13,h,3,0.163
274,13,h,3,0.163
275,13,h,3,0.163
276,14,c,22,-0.097
277,14,o,40,-0.367
278,14,o,40,-0.368
279,14,h,3,0.163
280,14,cl,93,-0.167
281,14,h,3,0.163
282,14,c,22,-0.097
283,14,c,22,-0.097
284,14,c,22,-0.097
285,14,c,22,-0.097
286,14,c,22,-0.097
287,14,h,3,0.163
288,14,h,3,0.163
289,14,n,38,0.832
290,15,c,22,-0.12
291,15,h,3,0.141
292,15,c,22,-0.12
293,15,c,27,0.01
294,15,c,195,-0.09
295,15,c,22,-0.12
296,15,h,3,0.141
297,15,c,22,-0.12
298,15,c,22,-0.12
299,15,c,27,0.01
300,15,c,195,-0.09
301,15,c,22,-0.12
302,15,h,3,0.14
303,15,h,3,0.141
304,15,c,22,-0.12
305,15,c,22,-0.12
306,15,c,22,-0.12
307,15,c,22,-0.12
308,15,h,3,0.14
309,15,h,3,0.14
310,15,h,3,0.14
311,15,h,3,0.141
312,15,c,27,0.01
313,15,n,38,0.811
314,15,o,40,-0.389
315,15,o,40,-0.389
316,15,c,27,0.01
317,15,c,22,-0.12
318,15,c,22,-0.12
319,15,h,3,0.141
320,15,h,3,0.141
321,15,h,3,0.141
322,16,c,22,-0.074
323,16,o,40,-0.343
324,16,o,40,-0.343
325,16,cl,93,-0.144
326,16,h,3,0.187
327,16,cl,93,-0.144
328,16,c,22,-0.074
329,16,c,22,-0.074
330,16,c,22,-0.074
331,16,c,22,-0.074
332,16,c,22,-0.074
333,16,h,3,0.187
334,16,h,3,0.187
335,16,n,38,0.857
336,17,c,22,-0.125
337,17,h,3,0.135
338,17,c,22,-0.125
339,17,c,27,0.005
340,17,c,27,0.005
341,17,c,22,-0.125
342,17,h,3,0.135
343,17,c,22,-0.125
344,17,c,22,-0.125
345,17,c,22,-0.125
346,17,c,22,-0.125
347,17,c,22,-0.125
348,17,h,3,0.135
349,17,h,3,0.135
350,17,h,3,0.135
351,17,h,3,0.135
352,17,n,38,0.805
353,17,o,40,-0.395
354,17,o,40,-0.395
355,17,c,27,0.005
356,17,c,27,0.005
357,17,c,22,-0.125
358,17,c,22,-0.125
359,17,h,3,0.135
360,17,h,3,0.135
361,17,h,3,0.135
362,18,c,22,-0.074
363,18,o,40,-0.343
364,18,o,40,-0.343
365,18,cl,93,-0.144
366,18,h,3,0.187
367,18,cl,93,-0.144
368,18,c,22,-0.074
369,18,c,22,-0.074
370,18,c,22,-0.074
371,18,c,22,-0.074
372,18,c,22,-0.074
373,18,h,3,0.187
374,18,h,3,0.187
375,18,n,38,0.857
376,19,c,22,-0.108
377,19,c,22,-0.108
378,19,c,16,-0.178
379,19,c,16,-0.178
380,19,c,10,0.122
381,19,c,10,0.022
382,19,n,38,0.822
383,19,o,40,-0.378
384,19,o,40,-0.378
385,19,h,3,0.152
386,19,h,3,0.152
387,19,c,22,-0.108
388,19,h,3,0.152
389,19,h,3,0.152
390,19,h,3,0.152
391,19,h,3,0.122
392,19,h,3,0.122
393,19,o,45,-0.628
394,19,h,3,0.072
395,19,o,45,-0.628
396,19,h,3,0.072
397,19,h,8,0.422
398,19,c,27,0.022
399,19,h,8,0.422
400,19,c,27,0.022
401,19,c,22,-0.108
402,19,c,22,-0.108
403,19,c,22,-0.108
404,19,c,22,0.122
405,19,c,22,-0.108
406,9,c,22,-0.114
407,9,h,3,0.145
408,9,c,22,-0.114
409,9,c,27,0.016
410,9,c,195,-0.084
411,9,c,195,-0.084
412,9,c,22,-0.114
413,9,c,22,-0.114
414,9,c,27,0.016
415,9,c,27,-0.084
416,9,h,3,0.145
417,9,c,22,-0.114
418,9,h,3,0.145
419,9,c,27,0.016
420,9,c,22,-0.114
421,9,c,22,-0.114
422,9,h,3,0.145
423,9,h,3,0.145
424,9,c,22,-0.114
425,9,c,22,-0.114
426,9,c,22,-0.114
427,9,h,3,0.145
428,9,c,27,0.016
429,9,h,3,0.145
430,9,h,3,0.145
431,9,n,38,0.815
432,9,o,40,-0.385
433,9,o,40,-0.385
434,9,c,27,-0.084
435,9,c,22,-0.114
436,9,c,22,-0.114
437,9,h,3,0.145
438,9,h,3,0.145
439,9,h,3,0.145
440,21,c,22,-0.108
441,21,c,22,-0.108
442,21,c,10,0.022
443,21,c,10,0.122
444,21,c,16,-0.178
445,21,c,16,-0.178
446,21,n,38,0.822
447,21,o,40,-0.378
448,21,o,40,-0.378
449,21,h,3,0.152
450,21,h,3,0.152
451,21,c,22,-0.108
452,21,h,3,0.152
453,21,h,3,0.152
454,21,h,3,0.152
455,21,h,3,0.122
456,21,h,3,0.122
457,21,o,45,-0.628
458,21,h,3,0.072
459,21,o,45,-0.628
460,21,h,3,0.072
461,21,h,8,0.422
462,21,c,27,0.022
463,21,h,8,0.422
464,21,c,27,0.022
465,21,c,22,-0.108
466,21,c,22,-0.108
467,21,c,22,-0.108
468,21,c,22,-0.108
469,21,c,22,0.122
470,22,c,10,-0.091
471,22,c,27,0.009
472,22,c,22,-0.121
473,22,c,22,-0.122
474,22,c,27,0.009
475,22,c,27,-0.091
476,22,c,27,0.009
477,22,c,22,-0.121
478,22,c,22,-0.121
479,22,c,22,-0.121
480,22,c,22,-0.121
481,22,c,10,-0.091
482,22,c,22,-0.121
483,22,n,38,0.808
484,22,o,40,-0.392
485,22,o,40,-0.392
486,22,h,3,0.059
487,22,h,3,0.059
488,22,h,3,0.059
489,22,h,3,0.059
490,22,h,3,0.138
491,22,h,3,0.138
492,22,c,22,0.009
493,22,h,3,0.138
494,22,h,3,0.138
495,22,h,3,0.138
496,22,h,3,0.138
497,22,h,3,0.138
498,22,h,3,0.059
499,22,h,3,0.059
500,22,h,3,0.059
501,22,h,3,0.059
502,22,c,22,0.009
503,22,c,10,-0.091
504,22,c,10,-0.091
505,22,c,22,-0.122
506,22,c,27,0.009
507,22,c,27,-0.091
508,23,c,10,0.124
509,23,c,22,-0.106
510,23,c,22,-0.106
511,23,c,22,-0.106
512,23,c,27,0.024
513,23,c,195,-0.076
514,23,c,22,-0.106
515,23,c,22,-0.106
516,23,c,22,-0.106
517,23,c,22,-0.106
518,23,n,38,0.823
519,23,c,10,0.024
520,23,o,40,-0.376
521,23,o,40,-0.376
522,23,h,3,0.154
523,23,h,3,0.154
524,23,h,3,0.154
525,23,h,3,0.154
526,23,h,3,0.154
527,23,h,3,0.154
528,23,h,3,0.154
529,23,h,3,0.124
530,23,c,22,-0.106
531,23,h,3,0.124
532,23,o,45,-0.627
533,23,h,3,0.074
534,23,o,45,-0.627
535,23,h,3,0.074
536,23,h,8,0.423
537,23,h,8,0.424
538,23,c,22,0.124
539,23,c,16,-0.176
540,23,c,16,-0.176
541,23,c,22,-0.106
542,23,c,27,0.024
543,23,c,195,-0.076
544,24,c,22,-0.112
545,24,c,22,-0.112
546,24,c,22,-0.112
547,24,c,22,-0.112
548,24,c,22,-0.112
549,24,c,22,0.118
550,24,c,10,0.018
551,24,c,10,0.118
552,24,c,16,-0.181
553,24,c,16,-0.181
554,24,n,38,0.819
555,24,c,22,-0.112
556,24,o,40,-0.381
557,24,o,40,-0.381
558,24,h,3,0.148
559,24,h,3,0.148
560,24,h,3,0.149
561,24,h,3,0.149
562,24,h,3,0.149
563,24,h,3,0.148
564,24,h,3,0.148
565,24,o,45,-0.631
566,24,c,27,0.018
567,24,h,3,0.068
568,24,o,45,-0.631
569,24,h,3,0.068
570,24,h,8,0.419
571,24,h,8,0.419
572,24,h,3,0.118
573,24,h,3,0.118
574,24,c,27,0.018
575,24,c,22,-0.112
576,24,c,22,-0.112
577,24,c,22,-0.112
578,24,c,27,0.018
579,24,c,27,0.018
580,25,c,194,0.004
581,25,c,22,-0.126
582,25,h,3,0.134
583,25,h,3,0.134
584,25,h,3,0.134
585,25,c,22,-0.126
586,25,c,22,-0.126
587,25,c,22,-0.126
588,25,c,22,-0.126
589,25,h,3,0.134
590,25,h,3,0.134
591,25,c,194,0.004
592,25,h,3,0.134
593,25,h,3,0.134
594,25,c,22,-0.126
595,25,c,22,-0.126
596,25,c,22,-0.126
597,25,c,22,-0.126
598,25,h,3,0.134
599,25,h,3,0.134
600,25,h,3,0.134
601,25,h,3,0.134
602,25,c,29,0.004
603,25,n,38,0.805
604,25,o,40,-0.395
605,25,o,40,-0.396
606,25,c,194,0.004
607,25,c,29,0.004
608,25,c,29,0.004
609,25,c,22,-0.126
610,25,c,22,-0.126
611,25,c,22,-0.126
612,26,c,10,-0.083
613,26,c,27,0.017
614,26,c,22,-0.113
615,26,c,22,-0.113
616,26,c,27,0.017
617,26,c,27,-0.083
618,26,c,27,0.017
619,26,c,22,-0.113
620,26,c,22,-0.113
621,26,c,22,-0.113
622,26,c,22,-0.113
623,26,c,10,0.017
624,26,c,22,-0.113
625,26,n,38,0.816
626,26,o,40,-0.383
627,26,o,40,-0.383
628,26,h,3,0.067
629,26,h,3,0.067
630,26,h,3,0.067
631,26,h,3,0.067
632,26,h,3,0.147
633,26,h,3,0.147
634,26,c,22,-0.113
635,26,h,3,0.147
636,26,h,3,0.147
637,26,h,3,0.147
638,26,h,3,0.147
639,26,h,3,0.147
640,26,h,3,0.067
641,26,h,3,0.067
642,26,o,45,-0.634
643,26,h,3,0.067
644,26,h,8,0.416
645,26,c,22,0.017
646,26,c,10,-0.083
647,26,c,10,-0.083
648,26,c,22,-0.113
649,26,c,27,0.017
650,26,c,27,-0.083
651,27,c,22,-0.12
652,27,c,22,-0.12
653,27,c,22,-0.12
654,27,c,22,-0.12
655,27,c,27,0.01
656,27,c,195,-0.09
657,27,c,22,-0.12
658,27,c,22,-0.12
659,27,c,22,-0.12
660,27,c,22,-0.12
661,27,o,45,-0.64
662,27,c,22,-0.12
663,27,h,3,0.14
664,27,h,3,0.14
665,27,h,3,0.14
666,27,h,3,0.14
667,27,h,3,0.14
668,27,h,3,0.14
669,27,h,3,0.14
670,27,h,3,0.14
671,27,h,3,0.14
672,27,h,3,0.14
673,27,c,27,0.01
674,27,h,8,0.41
675,27,n,38,0.81
676,27,o,40,-0.39
677,27,o,40,-0.39
678,27,c,27,0.01
679,27,c,22,0.26
680,27,c,22,-0.12
681,27,c,22,-0.12
682,27,c,27,0.01
683,27,c,195,-0.09
684,28,c,22,-0.12
685,28,c,29,0.01
686,28,c,22,-0.12
687,28,c,22,-0.12
688,28,c,22,-0.12
689,28,h,3,0.14
690,28,h,3,0.139
691,28,h,3,0.139
692,28,c,29,0.01
693,28,c,27,-0.09
694,28,c,29,0.01
695,28,c,22,-0.12
696,28,c,27,0.01
697,28,c,22,-0.12
698,28,c,22,-0.12
699,28,c,22,-0.12
700,28,h,3,0.14
701,28,h,3,0.14
702,28,h,3,0.139
703,28,c,22,-0.12
704,28,c,22,-0.12
705,28,c,22,-0.12
706,28,c,29,0.01
707,28,h,3,0.14
708,28,h,3,0.139
709,28,n,38,0.809
710,28,o,40,-0.391
711,28,o,40,-0.391
712,28,c,27,-0.09
713,28,c,27,0.01
714,28,c,22,-0.12
715,28,h,3,0.139
716,28,h,3,0.139
717,28,h,3,0.139
718,20,c,22,-0.115
719,20,c,195,-0.085
720,20,c,10,-0.085
721,20,c,10,-0.085
722,20,c,22,0.015
723,20,c,27,-0.085
724,20,c,27,0.015
725,20,c,22,-0.115
726,20,c,22,-0.115
727,20,c,22,-0.115
728,20,c,22,-0.115
729,20,c,22,-0.115
730,20,c,22,-0.115
731,20,n,38,0.814
732,20,o,40,-0.386
733,20,o,40,-0.386
734,20,h,3,0.144
735,20,h,3,0.144
736,20,h,3,0.144
737,20,h,3,0.144
738,20,h,3,0.144
739,20,h,3,0.145
740,20,c,27,0.015
741,20,h,3,0.145
742,20,h,3,0.144
743,20,h,3,0.144
744,20,h,3,0.065
745,20,h,3,0.065
746,20,h,3,0.065
747,20,h,3,0.065
748,20,c,27,-0.085
749,20,c,22,-0.115
750,20,c,22,-0.115
751,20,c,22,-0.115
752,20,c,22,0.015
753,20,c,195,-0.085
754,29,c,22,-0.127
755,29,n,32,-0.396
756,29,c,10,0.003
757,29,c,10,-0.097
758,29,c,10,0.003
759,29,h,3,0.053
760,29,h,3,0.053
761,29,h,3,0.053
762,29,n,38,0.804
763,29,o,40,-0.396
764,29,o,40,-0.396
765,29,c,22,-0.126
766,29,h,3,0.053
767,29,h,3,0.053
768,29,h,3,0.053
769,29,h,3,0.053
770,29,c,22,0.204
771,29,c,22,0.003
772,29,c,22,-0.126
773,29,c,22,-0.126
774,29,h,3,0.134
775,29,h,3,0.134
776,29,h,3,0.134
777,30,c,22,-0.149
778,30,c,10,0.231
779,30,n,38,0.78
780,30,o,40,-0.419
781,30,o,40,-0.419
782,30,h,3,0.111
783,30,h,3,0.111
784,30,h,3,0.081
785,30,h,3,0.111
786,30,h,3,0.081
787,30,h,3,0.031
788,30,c,22,-0.149
789,30,h,3,0.031
790,30,h,3,0.031
791,30,c,26,0.281
792,30,c,26,0.081
793,30,c,22,-0.149
794,30,c,22,-0.149
795,30,n,34,-0.559
796,30,c,21,0.151
797,30,c,21,-0.119
798,31,c,22,-0.121
799,31,h,3,0.139
800,31,h,3,0.14
801,31,n,38,0.81
802,31,o,40,-0.39
803,31,o,40,-0.39
804,31,c,22,-0.121
805,31,c,22,-0.121
806,31,c,22,-0.121
807,31,c,22,-0.121
808,31,c,22,-0.121
809,31,h,3,0.139
810,31,h,3,0.139
811,31,h,3,0.139
812,32,c,22,-0.149
813,32,c,10,0.231
814,32,n,38,0.78
815,32,o,40,-0.419
816,32,o,40,-0.419
817,32,h,3,0.111
818,32,h,3,0.081
819,32,h,3,0.111
820,32,h,3,0.111
821,32,h,3,0.081
822,32,h,3,0.031
823,32,c,22,-0.149
824,32,h,3,0.031
825,32,h,3,0.031
826,32,c,26,0.281
827,32,c,26,0.081
828,32,c,22,-0.149
829,32,c,22,-0.149
830,32,n,34,-0.559
831,32,c,21,0.151
832,32,c,21,-0.119
833,33,c,22,-0.139
834,33,n,38,0.79
835,33,o,40,-0.41
836,33,o,40,-0.41
837,33,h,3,0.121
838,33,h,3,0.121
839,33,h,3,0.121
840,33,h,3,0.121
841,33,h,3,0.091
842,33,h,1,0.29
843,33,c,22,-0.139
844,33,c,26,-0.049
845,33,c,26,0.091
846,33,c,22,-0.14
847,33,c,22,-0.14
848,33,n,34,-0.37
849,33,c,21,0.16
850,33,c,21,-0.109
851,34,c,22,-0.115
852,34,n,38,0.816
853,34,o,40,-0.384
854,34,o,40,-0.384
855,34,h,1,0.315
856,34,h,3,0.145
857,34,h,3,0.145
858,34,h,3,0.115
859,34,h,3,0.145
860,34,c,22,-0.115
861,34,c,26,0.315
862,34,c,26,0.115
863,34,c,22,-0.115
864,34,c,22,-0.115
865,34,n,34,-0.384
866,34,n,34,-0.384
867,34,c,21,-0.115
868,35,c,22,-0.121
869,35,h,3,0.139
870,35,n,38,0.81
871,35,f,92,-0.291
872,35,o,40,-0.39
873,35,o,40,-0.39
874,35,c,22,-0.121
875,35,c,22,-0.121
876,35,c,22,0.31
877,35,c,22,-0.121
878,35,c,22,-0.121
879,35,h,3,0.139
880,35,h,3,0.139
881,35,h,3,0.139
882,36,c,21,0.187
883,36,o,40,-0.413
884,36,c,14,0.217
885,36,o,41,-0.443
886,36,h,3,0.187
887,36,c,21,-0.143
888,36,c,21,-0.143
889,36,c,21,-0.013
890,36,o,52,-0.043
891,36,h,3,0.117
892,36,h,3,0.117
893,36,n,38,0.786
894,36,o,40,-0.413
895,37,c,21,0.006
896,37,o,40,-0.395
897,37,o,40,-0.395
898,37,c,16,-0.195
899,37,c,16,-0.195
900,37,c,14,0.235
901,37,o,41,-0.425
902,37,h,3,0.205
903,37,h,3,0.106
904,37,h,3,0.106
905,37,c,21,-0.124
906,37,c,21,-0.124
907,37,c,21,0.106
908,37,c,21,-0.124
909,37,h,3,0.136
910,37,h,3,0.136
911,37,h,3,0.136
912,37,n,38,0.805
913,38,c,21,0.086
914,38,o,40,-0.414
915,38,c,14,0.587
916,38,n,32,-0.414
917,38,h,3,0.036
918,38,n,32,-0.414
919,38,c,14,0.587
920,38,h,1,0.287
921,38,o,40,-0.563
922,38,n,32,-0.612
923,38,h,1,0.287
924,38,c,21,-0.144
925,38,h,1,0.287
926,38,c,21,-0.144
927,38,c,21,-0.014
928,38,o,52,-0.044
929,38,h,3,0.116
930,38,h,3,0.116
931,38,n,38,0.788
932,38,o,40,-0.414
933,39,c,21,0.107
934,39,o,40,-0.393
935,39,c,14,0.608
936,39,n,32,-0.393
937,39,h,3,0.057
938,39,n,36,-0.293
939,39,n,32,-0.393
940,39,h,1,0.157
941,39,c,10,0.007
942,39,c,14,0.608
943,39,c,14,0.608
944,39,c,21,-0.123
945,39,h,3,0.057
946,39,h,3,0.057
947,39,n,32,-0.393
948,39,o,40,-0.542
949,39,o,40,-0.543
950,39,h,1,0.257
951,39,c,21,-0.123
952,39,c,21,0.007
953,39,o,52,-0.023
954,39,h,3,0.137
955,39,h,3,0.137
956,39,n,38,0.808
957,39,o,40,-0.393
958,40,c,21,0.046
959,40,c,14,0.646
960,40,h,3,0.146
961,40,h,3,0.096
962,40,h,3,0.096
963,40,h,3,0.096
964,40,h,3,0.096
965,40,n,38,0.846
966,40,o,40,-0.354
967,40,o,40,-0.354
968,40,h,1,0.346
969,40,n,34,-0.494
970,40,o,40,-0.504
971,40,c,21,0.046
972,40,c,21,0.046
973,40,s,72,-0.184
974,40,n,32,-0.354
975,40,c,10,0.046
976,40,c,10,0.046
977,40,n,32,-0.354
978,41,c,21,0.106
979,41,o,40,-0.394
980,41,c,14,0.605
981,41,n,32,-0.395
982,41,h,3,0.056
983,41,n,32,-0.395
984,41,c,10,0.006
985,41,c,14,0.605
986,41,c,10,0.256
987,41,h,3,0.056
988,41,h,3,0.056
989,41,c,21,-0.124
990,41,o,49,-0.645
991,41,o,51,-0.545
992,41,h,3,0.106
993,41,h,3,0.106
994,41,c,21,-0.124
995,41,c,21,0.006
996,41,o,52,-0.024
997,41,h,3,0.136
998,41,h,3,0.136
999,41,n,38,0.805
1000,41,o,40,-0.395
