id,drug_id,atom1_id,atom2_id,bond_type
integer,integer,integer,integer,integer
primary key,foreign key[drugs.id],foreign key[atoms.id],foreign key[atoms.id],
0,0,0,11,7
1,0,11,19,7
2,0,19,20,7
3,0,20,21,7
4,0,21,22,7
5,0,22,0,7
6,0,11,23,1
7,0,22,24,1
8,0,19,25,7
9,0,25,1,7
10,0,1,2,7
11,0,2,3,7
12,0,3,20,7
13,0,25,4,1
14,0,2,5,1
15,0,3,6,1
16,0,1,7,1
17,0,21,8,1
18,0,0,9,1
19,0,8,10,2
20,0,8,12,2
21,0,6,13,2
22,0,6,14,2
23,0,7,15,2
24,0,7,16,2
25,0,9,17,2
26,0,9,18,2
27,1,26,36,7
28,1,36,37,7
29,1,37,38,7
30,1,38,39,7
31,1,39,40,7
32,1,40,26,7
33,1,37,41,7
34,1,41,42,7
35,1,38,43,7
36,1,43,42,7
37,1,40,27,1
38,1,27,28,2
39,1,27,29,2
40,1,41,30,1
41,1,26,31,1
42,1,36,32,1
43,1,39,33,1
44,1,42,34,1
45,1,43,35,1
46,2,44,55,7
47,2,55,66,7
48,2,66,68,7
49,2,68,69,7
50,2,69,70,7
51,2,70,44,7
52,2,68,71,7
53,2,71,72,7
54,2,72,73,7
55,2,73,45,7
56,2,45,69,7
57,2,71,46,7
58,2,46,47,7
59,2,47,48,7
60,2,48,49,7
61,2,49,72,7
62,2,66,50,7
63,2,50,51,7
64,2,51,46,7
65,2,47,52,7
66,2,51,53,7
67,2,53,52,7
68,2,44,54,1
69,2,55,56,1
70,2,70,57,1
71,2,73,58,1
72,2,45,59,1
73,2,48,60,1
74,2,49,61,1
75,2,50,62,1
76,2,52,63,1
77,2,53,64,1
78,2,64,65,2
79,2,64,67,2
80,3,74,85,7
81,3,85,96,7
82,3,96,100,7
83,3,100,101,7
84,3,101,102,7
85,3,102,74,7
86,3,74,103,1
87,3,85,104,1
88,3,101,105,1
89,3,102,75,1
90,3,96,76,7
91,3,76,77,7
92,3,77,78,7
93,3,78,79,7
94,3,79,100,7
95,3,76,80,1
96,3,78,81,7
97,3,81,82,7
98,3,82,83,7
99,3,83,84,7
100,3,84,79,7
101,3,83,86,1
102,3,84,87,1
103,3,81,88,7
104,3,88,89,7
105,3,89,90,7
106,3,90,91,7
107,3,91,82,7
108,3,88,92,1
109,3,89,93,1
110,3,90,94,1
111,3,91,95,1
112,3,77,97,1
113,3,97,98,2
114,3,97,99,2
115,4,106,117,7
116,4,117,128,7
117,4,128,132,7
118,4,132,133,7
119,4,133,134,7
120,4,134,106,7
121,4,106,135,1
122,4,117,136,1
123,4,133,137,1
124,4,134,107,1
125,4,128,108,7
126,4,108,109,7
127,4,109,110,7
128,4,110,111,7
129,4,111,132,7
130,4,108,112,1
131,4,110,113,7
132,4,113,114,7
133,4,114,115,7
134,4,115,116,7
135,4,116,111,7
136,4,115,118,1
137,4,116,119,1
138,4,113,120,7
139,4,120,121,7
140,4,121,122,7
141,4,122,123,7
142,4,123,114,7
143,4,120,124,1
144,4,121,125,1
145,4,123,126,1
146,4,109,127,1
147,4,122,129,1
148,4,129,130,2
149,4,129,131,2
150,5,138,148,7
151,5,148,149,7
152,5,149,150,7
153,5,150,151,7
154,5,151,152,7
155,5,152,138,7
156,5,138,153,1
157,5,149,154,1
158,5,152,155,1
159,5,151,139,1
160,5,148,140,1
161,5,139,141,1
162,5,139,142,1
163,5,140,143,2
164,5,140,144,2
165,5,150,145,1
166,5,145,146,1
167,5,145,147,1
168,6,156,162,7
169,6,162,163,7
170,6,163,164,7
171,6,164,165,7
172,6,165,166,7
173,6,166,156,7
174,6,156,167,1
175,6,166,168,1
176,6,165,169,1
177,6,164,157,1
178,6,163,158,1
179,6,162,159,1
180,6,159,160,2
181,6,159,161,2
182,7,170,181,7
183,7,181,187,7
184,7,187,188,7
185,7,188,189,7
186,7,189,190,7
187,7,190,170,7
188,7,170,191,1
189,7,181,192,1
190,7,189,193,1
191,7,190,171,1
192,7,172,173,7
193,7,173,174,7
194,7,174,175,7
195,7,175,176,7
196,7,176,177,7
197,7,177,172,7
198,7,173,178,1
199,7,174,179,1
200,7,188,177,1
201,7,187,180,1
202,7,180,172,1
203,7,180,182,1
204,7,175,183,1
205,7,176,184,1
206,7,184,185,2
207,7,184,186,2
208,8,194,205,7
209,8,205,207,7
210,8,207,208,7
211,8,208,209,7
212,8,209,210,7
213,8,210,194,7
214,8,207,211,7
215,8,211,212,7
216,8,208,213,7
217,8,213,212,7
218,8,211,195,1
219,8,212,196,1
220,8,196,197,2
221,8,196,198,2
222,8,194,199,1
223,8,205,200,1
224,8,209,201,1
225,8,210,202,1
226,8,195,203,1
227,8,195,204,1
228,8,195,206,1
229,9,406,417,7
230,9,417,428,7
231,9,428,434,7
232,9,434,435,7
233,9,435,436,7
234,9,436,406,7
235,9,406,437,1
236,9,417,438,1
237,9,435,439,1
238,9,436,407,1
239,9,428,408,7
240,9,408,409,7
241,9,409,410,7
242,9,410,411,7
243,9,411,434,7
244,9,409,412,7
245,9,412,413,7
246,9,413,414,7
247,9,414,415,7
248,9,415,410,7
249,9,412,416,1
250,9,413,418,1
251,9,415,419,7
252,9,419,420,7
253,9,420,421,7
254,9,421,411,7
255,9,420,422,1
256,9,421,423,1
257,9,414,424,7
258,9,424,425,7
259,9,425,426,7
260,9,426,419,7
261,9,424,427,1
262,9,425,429,1
263,9,426,430,1
264,9,408,431,1
265,9,431,432,2
266,9,431,433,2
267,10,214,224,7
268,10,224,225,7
269,10,225,226,7
270,10,226,227,7
271,10,227,228,7
272,10,228,214,7
273,10,225,229,7
274,10,229,230,7
275,10,226,231,7
276,10,231,230,7
277,10,224,215,1
278,10,215,216,2
279,10,215,217,2
280,10,214,218,1
281,10,227,219,1
282,10,228,220,1
283,10,230,221,1
284,10,231,222,1
285,10,229,223,1
286,11,232,238,7
287,11,238,239,7
288,11,239,240,7
289,11,240,241,7
290,11,241,242,7
291,11,242,232,7
292,11,232,243,1
293,11,238,244,1
294,11,242,245,1
295,11,241,233,1
296,11,233,234,2
297,11,233,235,2
298,11,240,236,1
299,11,239,237,1
300,12,246,254,7
301,12,254,255,7
302,12,255,256,7
303,12,256,257,7
304,12,257,258,7
305,12,258,246,7
306,12,246,259,1
307,12,254,260,1
308,12,258,261,1
309,12,257,247,1
310,12,247,248,2
311,12,247,249,2
312,12,255,250,1
313,12,256,251,1
314,12,251,252,2
315,12,251,253,2
316,13,262,268,7
317,13,268,269,7
318,13,269,270,7
319,13,270,271,7
320,13,271,272,7
321,13,272,262,7
322,13,262,273,1
323,13,268,274,1
324,13,272,275,1
325,13,271,263,1
326,13,263,264,2
327,13,263,265,2
328,13,270,266,1
329,13,267,269,1
330,14,276,282,7
331,14,282,283,7
332,14,283,284,7
333,14,284,285,7
334,14,285,286,7
335,14,286,276,7
336,14,276,287,1
337,14,286,288,1
338,14,285,289,1
339,14,289,277,2
340,14,289,278,2
341,14,284,279,1
342,14,282,280,1
343,14,283,281,1
344,15,290,301,7
345,15,301,312,7
346,15,312,316,7
347,15,316,317,7
348,15,317,318,7
349,15,318,290,7
350,15,290,319,1
351,15,301,320,1
352,15,317,321,1
353,15,318,291,1
354,15,312,292,7
355,15,292,293,7
356,15,293,294,7
357,15,294,295,7
358,15,295,316,7
359,15,295,296,1
360,15,293,297,7
361,15,297,298,7
362,15,298,299,7
363,15,299,300,7
364,15,300,294,7
365,15,297,302,1
366,15,298,303,1
367,15,299,304,7
368,15,304,305,7
369,15,305,306,7
370,15,306,307,7
371,15,307,300,7
372,15,304,308,1
373,15,305,309,1
374,15,306,310,1
375,15,307,311,1
376,15,292,313,1
377,15,313,314,2
378,15,313,315,2
379,16,322,328,7
380,16,328,329,7
381,16,329,330,7
382,16,330,331,7
383,16,331,332,7
384,16,332,322,7
385,16,322,333,1
386,16,332,334,1
387,16,331,335,1
388,16,335,323,2
389,16,335,324,2
390,16,328,325,1
391,16,329,326,1
392,16,330,327,1
393,17,336,347,7
394,17,347,355,7
395,17,355,356,7
396,17,356,357,7
397,17,357,358,7
398,17,358,336,7
399,17,336,359,1
400,17,347,360,1
401,17,357,361,1
402,17,358,337,1
403,17,355,338,7
404,17,338,339,7
405,17,339,340,7
406,17,340,341,7
407,17,341,356,7
408,17,338,342,1
409,17,339,343,7
410,17,343,344,7
411,17,344,345,7
412,17,345,346,7
413,17,346,340,7
414,17,343,348,1
415,17,344,349,1
416,17,345,350,1
417,17,346,351,1
418,17,341,352,1
419,17,352,353,2
420,17,352,354,2
421,18,362,368,7
422,18,368,369,7
423,18,369,370,7
424,18,370,371,7
425,18,371,372,7
426,18,372,362,7
427,18,362,373,1
428,18,372,374,1
429,18,371,375,1
430,18,375,363,2
431,18,375,364,2
432,18,368,365,1
433,18,370,366,1
434,18,369,367,1
435,19,376,387,7
436,19,387,398,7
437,19,398,400,7
438,19,400,401,7
439,19,401,402,7
440,19,402,376,7
441,19,398,403,7
442,19,403,404,7
443,19,404,405,7
444,19,405,377,7
445,19,377,400,7
446,19,404,378,1
447,19,378,379,2
448,19,379,380,1
449,19,380,381,1
450,19,381,405,1
451,19,377,382,1
452,19,382,383,2
453,19,382,384,2
454,19,376,385,1
455,19,387,386,1
456,19,401,388,1
457,19,402,389,1
458,19,403,390,1
459,19,378,391,1
460,19,379,392,1
461,19,381,393,5
462,19,381,394,1
463,19,380,395,4
464,19,380,396,1
465,19,393,397,1
466,19,395,399,1
467,20,718,729,7
468,20,729,740,7
469,20,740,748,7
470,20,748,749,7
471,20,749,750,7
472,20,750,718,7
473,20,740,751,7
474,20,751,752,7
475,20,752,753,7
476,20,753,719,7
477,20,719,748,7
478,20,752,720,1
479,20,720,721,1
480,20,721,722,1
481,20,722,723,7
482,20,723,753,7
483,20,723,724,7
484,20,724,725,7
485,20,725,726,7
486,20,726,719,7
487,20,722,727,7
488,20,727,728,7
489,20,728,730,7
490,20,730,724,7
491,20,751,731,1
492,20,731,732,2
493,20,731,733,2
494,20,718,734,1
495,20,729,735,1
496,20,749,736,1
497,20,750,737,1
498,20,725,738,1
499,20,726,739,1
500,20,727,741,1
501,20,728,742,1
502,20,730,743,1
503,20,720,744,1
504,20,720,745,1
505,20,721,746,1
506,20,721,747,1
507,21,440,451,7
508,21,451,462,7
509,21,462,464,7
510,21,464,465,7
511,21,465,466,7
512,21,466,440,7
513,21,462,467,7
514,21,467,468,7
515,21,468,469,7
516,21,469,441,7
517,21,441,464,7
518,21,468,442,1
519,21,442,443,1
520,21,443,444,1
521,21,444,445,2
522,21,445,469,1
523,21,441,446,1
524,21,446,447,2
525,21,446,448,2
526,21,440,449,1
527,21,451,450,1
528,21,465,452,1
529,21,466,453,1
530,21,467,454,1
531,21,445,455,1
532,21,444,456,1
533,21,443,457,5
534,21,443,458,1
535,21,442,459,4
536,21,442,460,1
537,21,459,461,1
538,21,457,463,1
539,22,470,481,1
540,22,481,492,1
541,22,492,502,7
542,22,502,503,1
543,22,503,504,1
544,22,504,470,1
545,22,492,505,7
546,22,505,506,7
547,22,506,507,7
548,22,507,471,7
549,22,471,502,7
550,22,506,472,7
551,22,472,473,7
552,22,473,474,7
553,22,474,475,7
554,22,475,507,7
555,22,475,476,7
556,22,476,477,7
557,22,477,478,7
558,22,478,471,7
559,22,474,479,7
560,22,479,480,7
561,22,480,482,7
562,22,482,476,7
563,22,505,483,1
564,22,483,484,2
565,22,483,485,2
566,22,503,486,1
567,22,503,487,1
568,22,504,488,1
569,22,504,489,1
570,22,472,490,1
571,22,473,491,1
572,22,477,493,1
573,22,478,494,1
574,22,479,495,1
575,22,480,496,1
576,22,482,497,1
577,22,470,498,1
578,22,470,499,1
579,22,481,500,1
580,22,481,501,1
581,23,508,519,1
582,23,519,530,1
583,23,530,538,7
584,23,538,539,1
585,23,539,540,2
586,23,540,508,1
587,23,530,541,7
588,23,541,542,7
589,23,542,543,7
590,23,543,509,7
591,23,509,538,7
592,23,542,510,7
593,23,510,511,7
594,23,511,512,7
595,23,512,513,7
596,23,513,543,7
597,23,512,514,7
598,23,514,515,7
599,23,515,516,7
600,23,516,517,7
601,23,517,513,7
602,23,541,518,1
603,23,518,520,2
604,23,518,521,2
605,23,509,522,1
606,23,510,523,1
607,23,511,524,1
608,23,514,525,1
609,23,515,526,1
610,23,516,527,1
611,23,517,528,1
612,23,539,529,1
613,23,540,531,1
614,23,508,532,5
615,23,508,533,1
616,23,519,534,4
617,23,519,535,1
618,23,532,536,1
619,23,534,537,1
620,24,544,555,7
621,24,555,566,7
622,24,566,574,7
623,24,574,575,7
624,24,575,576,7
625,24,576,544,7
626,24,566,577,7
627,24,577,578,7
628,24,578,579,7
629,24,579,545,7
630,24,545,574,7
631,24,578,546,7
632,24,546,547,7
633,24,547,548,7
634,24,548,549,7
635,24,549,579,7
636,24,548,550,1
637,24,550,551,1
638,24,551,552,1
639,24,552,553,2
640,24,553,549,1
641,24,577,554,1
642,24,554,556,2
643,24,554,557,2
644,24,544,558,1
645,24,555,559,1
646,24,575,560,1
647,24,576,561,1
648,24,545,562,1
649,24,546,563,1
650,24,547,564,1
651,24,551,565,5
652,24,551,567,1
653,24,550,568,4
654,24,550,569,1
655,24,565,570,1
656,24,568,571,1
657,24,552,572,1
658,24,553,573,1
659,25,580,591,1
660,25,591,602,7
661,25,602,606,1
662,25,606,607,7
663,25,607,608,1
664,25,608,580,7
665,25,606,609,7
666,25,609,610,7
667,25,610,611,7
668,25,611,581,7
669,25,581,607,7
670,25,609,582,1
671,25,610,583,1
672,25,611,584,1
673,25,608,585,7
674,25,585,586,7
675,25,586,587,7
676,25,587,588,7
677,25,588,580,7
678,25,585,589,1
679,25,586,590,1
680,25,587,592,1
681,25,588,593,1
682,25,591,594,7
683,25,594,595,7
684,25,595,596,7
685,25,596,597,7
686,25,597,602,7
687,25,594,598,1
688,25,595,599,1
689,25,596,600,1
690,25,597,601,1
691,25,581,603,1
692,25,603,604,2
693,25,603,605,2
694,26,612,623,1
695,26,623,634,1
696,26,634,645,7
697,26,645,646,1
698,26,646,647,1
699,26,647,612,1
700,26,634,648,7
701,26,648,649,7
702,26,649,650,7
703,26,650,613,7
704,26,613,645,7
705,26,649,614,7
706,26,614,615,7
707,26,615,616,7
708,26,616,617,7
709,26,617,650,7
710,26,617,618,7
711,26,618,619,7
712,26,619,620,7
713,26,620,613,7
714,26,616,621,7
715,26,621,622,7
716,26,622,624,7
717,26,624,618,7
718,26,648,625,1
719,26,625,626,2
720,26,625,627,2
721,26,646,628,1
722,26,646,629,1
723,26,647,630,1
724,26,647,631,1
725,26,614,632,1
726,26,615,633,1
727,26,619,635,1
728,26,620,636,1
729,26,621,637,1
730,26,622,638,1
731,26,624,639,1
732,26,612,640,1
733,26,612,641,1
734,26,623,642,1
735,26,623,643,1
736,26,642,644,1
737,27,651,662,7
738,27,662,673,7
739,27,673,678,7
740,27,678,679,7
741,27,679,680,7
742,27,680,651,7
743,27,673,681,7
744,27,681,682,7
745,27,682,683,7
746,27,683,652,7
747,27,652,678,7
748,27,682,653,7
749,27,653,654,7
750,27,654,655,7
751,27,655,656,7
752,27,656,683,7
753,27,655,657,7
754,27,657,658,7
755,27,658,659,7
756,27,659,660,7
757,27,660,656,7
758,27,679,661,1
759,27,651,663,1
760,27,662,664,1
761,27,680,665,1
762,27,652,666,1
763,27,653,667,1
764,27,654,668,1
765,27,657,669,1
766,27,658,670,1
767,27,659,671,1
768,27,660,672,1
769,27,661,674,1
770,27,681,675,1
771,27,675,676,2
772,27,675,677,2
773,28,684,695,7
774,28,695,706,7
775,28,706,712,7
776,28,712,713,7
777,28,713,714,7
778,28,714,684,7
779,28,684,715,1
780,28,695,716,1
781,28,714,717,1
782,28,712,685,7
783,28,685,686,7
784,28,686,687,7
785,28,687,688,7
786,28,688,713,7
787,28,686,689,1
788,28,687,690,1
789,28,688,691,1
790,28,706,692,1
791,28,692,693,7
792,28,693,694,7
793,28,694,685,1
794,28,693,696,7
795,28,696,697,7
796,28,697,698,7
797,28,698,699,7
798,28,699,694,7
799,28,697,700,1
800,28,698,701,1
801,28,699,702,1
802,28,692,703,7
803,28,703,704,7
804,28,704,705,7
805,28,705,696,7
806,28,703,707,1
807,28,704,708,1
808,28,705,709,1
809,28,709,710,2
810,28,709,711,2
811,29,754,765,7
812,29,765,770,7
813,29,770,771,7
814,29,771,772,7
815,29,772,773,7
816,29,773,754,7
817,29,754,774,1
818,29,765,775,1
819,29,772,776,1
820,29,770,755,1
821,29,755,756,1
822,29,771,757,1
823,29,757,756,1
824,29,755,758,1
825,29,758,759,1
826,29,758,760,1
827,29,758,761,1
828,29,773,762,1
829,29,762,763,2
830,29,762,764,2
831,29,757,766,1
832,29,757,767,1
833,29,756,768,1
834,29,756,769,1
835,30,777,788,7
836,30,788,791,7
837,30,791,792,7
838,30,792,793,7
839,30,793,794,7
840,30,794,777,7
841,30,791,795,7
842,30,795,796,7
843,30,792,797,7
844,30,797,796,7
845,30,795,778,1
846,30,794,779,1
847,30,779,780,2
848,30,779,781,2
849,30,777,782,1
850,30,788,783,1
851,30,793,784,1
852,30,796,785,1
853,30,797,786,1
854,30,778,787,1
855,30,778,789,1
856,30,778,790,1
857,31,798,804,7
858,31,804,805,7
859,31,805,806,7
860,31,806,807,7
861,31,807,808,7
862,31,808,798,7
863,31,798,809,1
864,31,804,810,1
865,31,805,811,1
866,31,806,799,1
867,31,808,800,1
868,31,807,801,1
869,31,801,802,2
870,31,801,803,2
871,32,812,823,7
872,32,823,826,7
873,32,826,827,7
874,32,827,828,7
875,32,828,829,7
876,32,829,812,7
877,32,826,830,7
878,32,830,831,7
879,32,827,832,7
880,32,832,831,7
881,32,830,813,1
882,32,823,814,1
883,32,814,815,2
884,32,814,816,2
885,32,812,817,1
886,32,828,818,1
887,32,829,819,1
888,32,831,820,1
889,32,832,821,1
890,32,813,822,1
891,32,813,824,1
892,32,813,825,1
893,33,833,843,7
894,33,843,844,7
895,33,844,845,7
896,33,845,846,7
897,33,846,847,7
898,33,847,833,7
899,33,844,848,7
900,33,848,849,7
901,33,845,850,7
902,33,850,849,7
903,33,846,834,1
904,33,834,835,2
905,33,834,836,2
906,33,833,837,1
907,33,843,838,1
908,33,847,839,1
909,33,849,840,1
910,33,850,841,1
911,33,848,842,1
912,34,851,860,7
913,34,860,861,7
914,34,861,862,7
915,34,862,863,7
916,34,863,864,7
917,34,864,851,7
918,34,861,865,7
919,34,865,866,7
920,34,862,867,7
921,34,867,866,7
922,34,864,852,1
923,34,852,853,2
924,34,852,854,2
925,34,865,855,1
926,34,851,856,1
927,34,860,857,1
928,34,863,858,1
929,34,867,859,1
930,35,868,874,7
931,35,874,875,7
932,35,875,876,7
933,35,876,877,7
934,35,877,878,7
935,35,878,868,7
936,35,868,879,1
937,35,874,880,1
938,35,875,881,1
939,35,878,869,1
940,35,877,870,1
941,35,876,871,1
942,35,870,872,2
943,35,870,873,2
944,36,882,887,7
945,36,887,888,7
946,36,888,889,7
947,36,889,890,7
948,36,890,882,7
949,36,887,891,1
950,36,888,892,1
951,36,889,893,1
952,36,893,894,2
953,36,893,883,2
954,36,882,884,1
955,36,884,885,2
956,36,884,886,1
957,37,895,905,7
958,37,905,906,7
959,37,906,907,7
960,37,907,908,7
961,37,908,895,7
962,37,905,909,1
963,37,906,910,1
964,37,908,911,1
965,37,895,912,1
966,37,912,896,2
967,37,912,897,2
968,37,898,899,2
969,37,899,900,1
970,37,900,901,2
971,37,900,902,1
972,37,899,903,1
973,37,907,898,1
974,37,898,904,1
975,38,913,924,7
976,38,924,926,7
977,38,926,927,7
978,38,927,928,7
979,38,928,913,7
980,38,924,929,1
981,38,926,930,1
982,38,927,931,1
983,38,931,932,2
984,38,931,914,2
985,38,913,915,1
986,38,915,916,2
987,38,915,917,1
988,38,916,918,1
989,38,918,919,1
990,38,918,920,1
991,38,919,921,2
992,38,919,922,1
993,38,922,923,1
994,38,922,925,1
995,39,933,944,7
996,39,944,951,7
997,39,951,952,7
998,39,952,953,7
999,39,953,933,7
1000,39,944,954,1
1001,39,951,955,1
1002,39,952,956,1
1003,39,956,957,2
1004,39,956,934,2
1005,39,933,935,1
1006,39,935,936,2
1007,39,935,937,1
1008,39,936,938,1
1009,39,938,939,1
1010,39,938,940,1
1011,39,939,941,1
1012,39,939,942,1
1013,39,941,943,1
1014,39,941,945,1
1015,39,941,946,1
1016,39,943,947,1
1017,39,947,942,1
1018,39,942,948,2
1019,39,943,949,2
1020,39,947,950,1
1021,40,958,969,7
1022,40,969,971,7
1023,40,971,972,7
1024,40,972,973,7
1025,40,973,958,7
1026,40,974,975,1
1027,40,975,976,1
1028,40,976,977,1
1029,40,977,959,1
1030,40,959,974,1
1031,40,971,960,1
1032,40,975,961,1
1033,40,975,962,1
1034,40,976,963,1
1035,40,976,964,1
1036,40,972,965,1
1037,40,965,966,2
1038,40,965,967,2
1039,40,958,977,1
1040,40,974,968,1
1041,40,959,970,2
1042,41,978,989,7
1043,41,989,994,7
1044,41,994,995,7
1045,41,995,996,7
1046,41,996,978,7
1047,41,989,997,1
1048,41,994,998,1
1049,41,995,999,1
1050,41,999,1000,2
1051,41,999,979,2
1052,41,978,980,1
1053,41,980,981,2
1054,41,980,982,1
1055,41,983,984,1
1056,41,983,985,1
1057,41,984,986,1
1058,41,984,987,1
1059,41,984,988,1
1060,41,986,990,1
1061,41,990,985,1
1062,41,985,991,2
1063,41,981,983,1
1064,41,986,992,1
1065,41,986,993,1
